ebay_id,td_id,c4c_id,car_fuel,car_nb_shift,car_desc,car_trans,car_trim,car_version,car_plat,car_d_from,car_d_to,car_y_from,car_y_to,car_ranking,car_mark,car_name,car_doors,car_chassis,car_model_y_from,car_model_y_to,car_code,car_engine_desc,car_aspi,car_alim,car_name_cyl,car_valve,car_kw,car_cv,car_disp,car_cyl,car_nb_cyl,car_type,car_image,car_date_add,car_url,car_user,car_method,car_valid,car_comment
car_ebayID,car_tdID,42800,car_fuel,car_nbShift,car_desc,car_trans,car_trim,car_version,car_plat,car_YFrom,car_YTo,car_year,,ABC_ranking,model_mark,model_name,model_doors,model_chassis,model_YFrom,model_YTo,engine_code,engine_desc,engine_aspi,engine_alim,engine_nameCyl,engine_valve,engine_KW,engine_CV,engine_disp,,engine_nbCyl,engine_type,,,info_URL,info_user,info_method,info_valid,info_comment
,,15600,,,,,SE30,SE30,,1994-01-01 00:00:00,1994-12-31 00:00:00,1994,1994,,Lamborghini,Diablo,,,,,,,,,,,,525 PS,,,,,,,,Produit,Manuelle,True,
,,30484,,,Miura P400 Jota,RWD,P400 Jota,P400 Jota,,1970-01-01 00:00:00,1970-12-31 00:00:00,1970 , 1970,,Lamborghini,Miura,2,Coupe,,,,,Naturally Aspired,,,,,440 PS,,,,,,,,Produits,Manuelle,True,
,,31837,Petrol,3,Peugeot 202 berline,RWD,202,1.1L (30 CH),,nan,1938-01-01 00:00:00,,,,Peugeot,202,4,Sedan,1938,1949,,1.1L (30 CH),Naturally Aspired,,,8,22 KW,30 CH,,1133.0,4,,,,,,,False,
,,31838,Petrol,3,Peugeot 202 berline découvrable,RWD,202,1.1L (30 CH),,nan,1938-01-01 00:00:00,,,,Peugeot,202,4,Sedan,1938,1949,,1.1L (30 CH),Naturally Aspired,,,8,22 KW,30 CH,,1134.0,4,,,,,,,False,
,,31839,Petrol,3,Peugeot 202 cabriolet,RWD,202,1.1L (30 CH),,nan,1938-01-01 00:00:00,,,,Peugeot,202,2,Cabriolet,1938,1949,,1.1L (30 CH),Naturally Aspired,,,8,22 KW,30 CH,,1135.0,4,,,,,,,False,
,,31840,Petrol,3,Peugeot 202 limousine commerciale,RWD,202 (type G2Y),1.1L (30 CH),,nan,1938-01-01 00:00:00,,,,Peugeot,202,4,Sedan,1938,1949,,1.1L (30 CH),Naturally Aspired,,,8,22 KW,30 CH,,1136.0,4,,,,,,,False,
,,31841,Petrol,3,Peugeot 202 U break tôlé,RWD,202 (Type G2),1.1L (30 CH),,nan,1938-01-01 00:00:00,,,,Peugeot,202,4,Break,1938,1949,,1.1L (30 CH),Naturally Aspired,,,8,22 KW,30 CH,,1137.0,4,,,,,,,False,
,,31842,Petrol,3,Peugeot 202 U break bois,RWD,202,1.1L (30 CH),,nan,1938-01-01 00:00:00,,,,Peugeot,202,4,Break,1938,1949,,1.1L (30 CH),Naturally Aspired,,,8,22 KW,30 CH,,1138.0,4,,,,,,,False,
,,31843,Petrol,3,Peugeot 202 U camionnette bâchée,RWD,202 U (type T2T),1.1L (30 CH),,nan,1938-01-01 00:00:00,,,,Peugeot,202,2,Utilitaire,1938,1949,,1.1L (30 CH),Naturally Aspired,,,8,22 KW,30 CH,,1139.0,4,,,,,,,False,
,,31844,Petrol,3,Peugeot 202 U châssis-cabine,RWD,202 U (type T2C),1.1L (30 CH),,nan,1938-01-01 00:00:00,,,,Peugeot,202,2,Utilitaire,1938,1949,,1.1L (30 CH),Naturally Aspired,,,8,22 KW,30 CH,,1140.0,4,,,,,,,False,
,,31845,Petrol,3,"Peugeot 202 U fourgon ""paquet de tabac""",RWD,202 U (type L2),1.1L (30 CH),,nan,1938-01-01 00:00:00,,,,Peugeot,202,2,Utilitaire,1938,1949,,1.1L (30 CH),Naturally Aspired,,,8,22 KW,30 CH,,1141.0,4,,,,,,,False,
,,31846,Petrol,3,Peugeot 202 ambulance,RWD,202 (type S2Z),1.1L (30 CH),,nan,1938-01-01 00:00:00,,,,Peugeot,202,2,Utilitaire,1938,1949,,1.1L (30 CH),Naturally Aspired,,,8,22 KW,30 CH,,1142.0,4,,,,,,,False,
,,36123,,,,,SE30 JOTA,5.7,,1996-01-01 00:00:00,1996-12-31 00:00:00,1996 , 1996,,Lamborghini,Diablo,,Sedan,,,138,1.3 S (88 CH),Naturally Aspired,,,,,595 PS,,5707.0,,,,,,Produit,Manuelle,True,
,,36124,,,,,SVR,5.7 SVR,,1996-01-01 00:00:00,1996-12-31 00:00:00,1996 , 1996,,Lamborghini,Diablo,,Combi,,,828 B1.000,2000 (120 CH),Naturally Aspired,,,,,540 PS,,,,,,,,Produit,Manuelle,True,
,,36125,,,,,GTR,6.0 GTR,,1998-01-01 00:00:00,1999-12-31 00:00:00,1998 , 1999,,Lamborghini,Diablo,,Sedan,,,828 B.000,1600 (828.CB) (101 CH),Naturally Aspired,,,,,590 PS,,5992.0,,,,,,Produit,Manuelle,True,
